string
20201021_m3.4_degreeper_secondprocessedoffset angle -0.07953212532765777 in rad by: offset_angle in degree:_-3.6offset 0th. order in px_-134
nm eV  counts
-7.944830696753056e-09 -156.0564318380127 1952.0179604828043
-7.938346553171712e-09 -156.18390073900517 3009.3872354497353
-7.931862412660276e-09 -156.31157798620495 3961.1987020502647
-7.925378275210452e-09 -156.43946409100218 4059.0387731481483
-7.918894140813947e-09 -156.56755956646197 4076.3217179232806
-7.912410009462461e-09 -156.69586492733134 4063.3884755291006
-7.9059258811477e-09 -156.824380690046 4102.704861111111
-7.899441755861367e-09 -156.9531073727374 4093.5666335978835
-7.892957633595163e-09 -157.08204549523964 4109.524305555556
-7.886473514340791e-09 -157.21119557909645 4095.079117063492
-7.879989398089956e-09 -157.3405581475683 4093.2471064814813
-7.873505284834358e-09 -157.47013372563936 4112.869750330688
-7.867021174565695e-09 -157.59992284002473 4108.152116402116
-7.860537067275673e-09 -157.7299260191775 4106.364169973545
-7.854052962955993e-09 -157.86014379329586 4105.60544808201
-7.847568861598352e-09 -157.9905766943305 4126.8224206349205
-7.841084763194456e-09 -158.12122525599165 4140.900793650793
-7.834600667735998e-09 -158.25209001375657 4141.176463293651
-7.828116575214683e-09 -158.3831715048766 4140.369957010582
-7.821632485622207e-09 -158.51447026838485 4154.413649140211
-7.815148398950272e-09 -158.64598684510324 4156.562127976191
-7.808664315190573e-09 -158.77772177765024 4176.407242063492
-7.802180234334812e-09 -158.90967561044803 4158.824404761905
-7.795696156374683e-09 -159.0418488897304 4171.5708912037035
-7.789212081301886e-09 -159.17424216354982 4162.763723544974
-7.78272800910812e-09 -159.30685598178533 4157.856688161376
-7.776243939785081e-09 -159.43969089615018 4162.886656746032
-7.769759873324462e-09 -159.5727474601993 4156.249049272486
-7.763275809717964e-09 -159.70602622933697 4171.573702050265
-7.756791748957283e-09 -159.8395277608248 4190.976397156084
-7.750307691034109e-09 -159.9732526137894 4197.265625
-7.743823635940144e-09 -160.10720134922994 4190.013144841269
-7.737339583667078e-09 -160.24137453002635 4189.256489748677
-7.73085553420661e-09 -160.37577272094697 4194.477761243386
-7.724371487550432e-09 -160.51039648865665 4183.986772486773
-7.717887443690238e-09 -160.64524640172456 4201.125785383598
-7.711403402617724e-09 -160.78032303063225 4224.290674603175
-7.70491936432458e-09 -160.91562694778185 4203.305431547619
-7.698435328802499e-09 -161.05115872750383 4214.80753968254
-7.691951296043176e-09 -161.18691894606542 4216.131365740741
-7.685467266038306e-09 -161.32290818167866 4207.157862103175
-7.678983238779574e-09 -161.45912701450868 4190.370411706349
-7.672499214258676e-09 -161.5955760266818 4204.438244047619
-7.666015192467303e-09 -161.73225580229405 4211.146742724868
-7.659531173397147e-09 -161.8691669274193 4210.640997023809
-7.653047157039896e-09 -162.0063099901177 4222.404513888889
-7.646563143387241e-09 -162.14368558044427 4224.011574074074
-7.640079132430875e-09 -162.28129429045703 4218.1202876984125
-7.633595124162486e-09 -162.41913671422583 4203.0895750661375
-7.62711111857376e-09 -162.55721344784078 4207.015625
-7.620627115656391e-09 -162.69552508942076 4225.752190806878
-7.614143115402065e-09 -162.83407223912212 4223.688037367725
-7.60765911780247e-09 -162.97285549914756 4224.169270833333
-7.601175122849295e-09 -163.11187547375445 4237.692542989418
-7.59469113053423e-09 -163.2511327692639 4256.262690145502
-7.588207140848956e-09 -163.3906279940696 4240.683366402116
-7.581723153785167e-09 -163.53036175864648 4272.3051835317465
-7.575239169334547e-09 -163.67033467555973 4249.6952711640215
-7.568755187488779e-09 -163.8105473594739 4280.989955357143
-7.562271208239553e-09 -163.95100042716155 4300.376942791006
-7.555787231578555e-09 -164.09169449751258 4312.612185846561
-7.549303257497466e-09 -164.23263019154328 4333.009052579365
-7.542819285987974e-09 -164.3738081324054 4313.659970238095
-7.536335317041765e-09 -164.5152289453953 4334.546544312169
-7.529851350650521e-09 -164.6568932579634 4352.155960648148
-7.523367386805927e-09 -164.79880169972316 4363.643063822751
-7.516883425499667e-09 -164.94095490246065 4384.456927910053
-7.51039946672342e-09 -165.0833535001439 4365.675677910053
-7.503915510468874e-09 -165.22599812893205 4351.0306712962965
-7.49743155672771e-09 -165.36888942718528 4370.868179563492
-7.490947605491608e-09 -165.51202803547406 4375.897652116402
-7.484463656752255e-09 -165.6554145965886 4384.670717592592
-7.477979710501327e-09 -165.79904975554885 4393.290054563492
-7.471495766730507e-09 -165.94293415961388 4395.254836309524
-7.465011825431477e-09 -166.08706845829164 4406.8213458994705
-7.458527886595915e-09 -166.2314533033489 4424.611979166667
-7.452043950215506e-09 -166.37608934882078 4414.328414351852
-7.445560016281925e-09 -166.52097725102107 4424.379670965608
-7.439076084786854e-09 -166.66611766855166 4442.472346230159
-7.43259215572197e-09 -166.81151126231296 4457.450231481482
-7.426108229078953e-09 -166.9571586955136 4492.510540674603
-7.419624304849481e-09 -167.10306063368077 4497.009259259259
-7.413140383025233e-09 -167.24921774467012 4522.469990079365
-7.406656463597887e-09 -167.39563069867614 4527.6853918650795
-7.400172546559118e-09 -167.54230016824238 4533.85582010582
-7.393688631900603e-09 -167.68922682827173 4569.121031746032
-7.3872047196140225e-09 -167.83641135603665 4573.349619708994
-7.38072080969105e-09 -167.98385443118977 4600.232638888889
-7.37423690212336e-09 -168.13155673577432 4627.3979414682535
-7.367752996902632e-09 -168.27951895423448 4644.787409060847
-7.361269094020537e-09 -168.42774177342625 4656.488921957672
-7.354785193468753e-09 -168.57622588262774 4686.595734126984
-7.348301295238954e-09 -168.72497197355008 4706.114872685185
-7.341817399322812e-09 -168.87398074034826 4721.933118386243
-7.335333505712004e-09 -169.02325287963157 4762.6109457671955
-7.328849614398201e-09 -169.1727890904748 4784.250950727514
-7.322365725373078e-09 -169.32259007442897 4768.78302744709
-7.3158818386283076e-09 -169.4726565355324 4766.023148148148
-7.309397954155559e-09 -169.62298918032175 4792.484912367725
-7.302914071946509e-09 -169.77358871784296 4788.908730158731
-7.296430191992825e-09 -169.9244558596626 4791.367352843916
-7.289946314286183e-09 -170.0755913198789 4784.790467923281
-7.283462438818249e-09 -170.22699581513325 4800.653356481482
-7.276978565580698e-09 -170.37867006462122 4832.259672619048
-7.270494694565198e-09 -170.53061479010424 4844.797743055556
-7.264010825763417e-09 -170.68283071592094 4851.596767526455
-7.257526959167029e-09 -170.8353185689985 4862.744130291006
-7.2510430947677e-09 -170.98807907886456 4871.055059523809
-7.244559232557102e-09 -171.14111297765857 4828.860739087301
-7.238075372526898e-09 -171.2944210001437 4862.42117228836
-7.231591514668762e-09 -171.44800388371831 4907.655712632275
-7.2251076589743585e-09 -171.60186236842821 4939.796213624339
-7.218623805435356e-09 -171.75599719697811 4933.374255952381
-7.212139954043421e-09 -171.91040911474383 4963.9240244709
