string
20201021_m4_degreeper_secondprocessedoffset angle -0.09017474058028561 in rad by: offset_angle in degree:_-3.3offset 0th. order in px_-131
nm eV  counts
-9.005258118344098e-09 -137.67977705900324 1796.1757071897048
-8.997484179263002e-09 -137.7987341116894 2791.1245969742067
-8.989710229311969e-09 -137.91789706966853 3636.2988625716494
-8.981936268495768e-09 -138.03726646793882 3711.139787946429
-8.974162296819173e-09 -138.15684284335345 3701.3967943948414
-8.966388314286953e-09 -138.2766267346288 3692.449690669092
-8.958614320903884e-09 -138.3966186823522 3684.761164158951
-8.950840316674728e-09 -138.5168192289906 3665.3034405313056
-8.943066301604258e-09 -138.63722891889827 3666.112437307099
-8.93529227569724e-09 -138.7578482983252 3662.6437803130516
-8.92751823895844e-09 -138.87867791542536 3642.448984512787
-8.919744191392621e-09 -138.99971832026503 3628.9129154265875
-8.91197013300455e-09 -139.12097006483103 3637.924365492725
-8.904196063798991e-09 -139.2424337030393 3651.505197999339
-8.896421983780702e-09 -139.36410979074313 3625.2829103284835
-8.888647892954446e-09 -139.48599888574174 3627.336240630512
-8.880873791324981e-09 -139.60810154778883 3618.048872905644
-8.873099678897069e-09 -139.73041833860108 3607.7085744598767
-8.865325555675466e-09 -139.85294982186682 3603.6835007440477
-8.857551421664927e-09 -139.97569656325462 3603.791422095459
-8.849777276870214e-09 -140.09865913042202 3580.8447351741625
-8.842003121296073e-09 -140.22183809302442 3584.3535397376545
-8.834228954947262e-09 -140.3452340227236 3590.7930996472664
-8.826454777828536e-09 -140.46884749319676 3571.4888530643743
-8.818680589944644e-09 -140.5926790801454 3566.339991870591
-8.810906391300335e-09 -140.71672936130417 3557.724058228616
-8.803132181900362e-09 -140.84099891644993 3571.526038222002
-8.79535796174947e-09 -140.96548832741078 3574.688326719577
-8.787583730852411e-09 -141.090198178075 3573.711333636464
-8.779809489213926e-09 -141.21512905440048 3582.534877232143
-8.772035236838764e-09 -141.34028154442348 3584.187093529542
-8.764260973731669e-09 -141.46565623826825 3572.7834786981925
-8.756486699897382e-09 -141.5912537281561 3582.5080605158732
-8.748712415340647e-09 -141.7170746084147 3585.4494254298943
-8.740938120066208e-09 -141.84311947548753 3589.948416143078
-8.7331638140788e-09 -141.96938892794336 3573.9269007660937
-8.725389497383167e-09 -142.09588356648555 3578.0697303516317
-8.717615169984045e-09 -142.22260399396177 3552.5039269179897
-8.709840831886169e-09 -142.34955081537342 3573.688943314595
-8.702066483094278e-09 -142.4767246378853 3573.3391375936953
-8.694292123613105e-09 -142.60412607083538 3571.7678881448414
-8.686517753447387e-09 -142.7317557257444 3564.3902254188715
-8.678743372601856e-09 -142.85961421632567 3553.878038194445
-8.670968981081242e-09 -142.9877021584951 3583.3444940476193
-8.663194578890278e-09 -143.11602017038078 3591.0764061122136
-8.655420166033693e-09 -143.24456887233313 3551.897820904983
-8.647645742516217e-09 -143.37334888693485 3556.059854497355
-8.639871308342577e-09 -143.50236083901098 3572.86895805776
-8.6320968635175e-09 -143.63160535563895 3547.4279720568784
-8.624322408045713e-09 -143.7610830661588 3532.5342916391096
-8.616547941931938e-09 -143.89079460218338 3549.5705364032187
-8.608773465180901e-09 -144.02074059760858 3537.1908068783073
-8.600998977797323e-09 -144.1509216886237 3533.974109898589
-8.59322447978593e-09 -144.28133851372178 3530.9269765487215
-8.585449971151438e-09 -144.41199171371014 3515.660101135362
-8.577675451898569e-09 -144.54288193172076 3528.839320160935
-8.569900922032038e-09 -144.67400981322095 3512.9714196153
-8.562126381556569e-09 -144.80537600602375 3486.019999724427
-8.554351830476874e-09 -144.9369811602988 3502.33043637015
-8.54657726879767e-09 -145.0688259285831 3538.2050023423726
-8.53880269652367e-09 -145.20091096579156 3511.7670614252647
-8.531028113659592e-09 -145.33323692922798 3523.070212604718
-8.523253520210143e-09 -145.46580447859608 3527.1117001488096
-8.515478916180038e-09 -145.59861427601015 3523.0258108741186
-8.507704301573985e-09 -145.73166698600642 3540.3983238260585
-8.499929676396696e-09 -145.86496327555383 3545.8736014660494
-8.492155040652879e-09 -145.99850381406543 3554.390208195547
-8.48438039434724e-09 -146.1322892734094 3540.1964836860675
-8.476605737484486e-09 -146.26632032792048 3548.5074094742067
-8.468831070069322e-09 -146.4005976544111 3548.4140418320108
-8.461056392106452e-09 -146.53512193218288 3560.3806182484573
-8.453281703600582e-09 -146.66989384303818 3584.9768346285277
-8.445507004556412e-09 -146.80491407129148 3586.705677496693
-8.437732294978641e-09 -146.940183303781 3569.6636284722226
