Andor CC
eV	counts/eV
40	2.40236459449897E-02
60	2.40236459449897E-02
70	2.40236459449897E-02
95	2.51728813118675E-02
96	2.51883424408015E-02
97	2.53385299598327E-02
98	2.53639181726613E-02
99	2.54087374388959E-02
99.5	2.51962885191766E-02
100	2.26143721726195E-02
100.5	2.12516819623173E-02
101	2.04406810629644E-02
101.5	2.11057763915295E-02
102	2.12538122530586E-02
103	2.11606367770775E-02
104	2.19279833349866E-02
105	2.16336241078509E-02
106	2.12616420480091E-02
107	2.08569353667393E-02
108	2.06523445299573E-02
109	2.07168205685316E-02
110	2.07509525678095E-02
120	1.94891059235183E-02
130	1.94396663047826E-02
140	2.00806812809233E-02
150	2.0208949516714E-02
160	2.01083387113209E-02
170	2.05865320202166E-02
180	2.10949644921273E-02
190	2.14655581721885E-02
200	2.16562729094375E-02
220	2.22356811830049E-02
240	2.29887327686174E-02
260	2.36361710348456E-02
280	2.39973523250943E-02
320	2.53193062232661E-02
340	2.54829857988232E-02
360	2.58026842820777E-02
380	2.61901345348678E-02
400	2.62961342948339E-02
420	2.65518957136428E-02
440	2.66398546655656E-02
430	2.66313980638298E-02
460	2.69899030313134E-02
470	2.63900361933149E-02
480	2.67571372835066E-02
490	2.68502300141162E-02
500	2.69542977443609E-02
510	2.70140148036091E-02
520	2.71358372635991E-02
540	2.7231914651003E-02
560	2.72150519359773E-02
580	2.75816577927392E-02
600	2.74825174825175E-02
620	2.75319504084342E-02
640	2.76317550024524E-02
660	2.78474725332423E-02
680	2.78549756206982E-02
700	2.80042710341313E-02
700	2.79537218947828E-02
720	2.70920612650532E-02
740	2.6724793150347E-02
760	2.66875033410333E-02
780	2.67118995404993E-02
800	2.68886844109905E-02
800	2.69666900475411E-02
850	2.69894116070232E-02
900	2.70626453523546E-02
950	2.67577384739365E-02
1000	2.67478400843311E-02
1600	2.19250556297285E-02
1700	2.0219558977568E-02
1800	1.87065909904382E-02
1836	2.015968E-02
1837	2.0874369189907E-02
1838	2.26811053831772E-02
1839	2.54735022312801E-02
1840	2.63017400962606E-02
1841	2.48773836895827E-02
1842	2.4506542050362E-02
1843	2.46517244072256E-02
1844	2.49430327929859E-02
1845	2.49160197610769E-02
1846	2.48633499355811E-02
1847	2.45051103257236E-02
1848	2.46600484091627E-02
1849	2.45012118892716E-02
1850	2.50587982024165E-02
1900	2.66600327332242E-02

	
	
	
