string
20201019m4_degreeper_secondprocessedoffset angle -0.09272890686628767 in rad by: offset_angle in degree:_-3.35offset 0th. order in px_-110
nm eV  counts
-9.2596073416792e-09 -133.89789483962645 129.1461850582247
-9.251835222545148e-09 -134.01037742988663 191.85082952451816
-9.244063090981179e-09 -134.12304934418137 238.61053997336785
-9.236290946992087e-09 -134.23591106083165 239.55049798782363
-9.228518790582671e-09 -134.34896305977105 230.55467808868343
-9.220746621757726e-09 -134.46220582255265 226.37567982922337
-9.212974440522051e-09 -134.5756398323557 224.10602457128687
-9.205202246880437e-09 -134.6892655739928 231.6541726825279
-9.197430040837678e-09 -134.8030835339165 224.26438934948982
-9.189657822398569e-09 -134.91709420022633 220.19932153634025
-9.1818855915679e-09 -135.03129806267592 220.36038791601712
-9.17411334835046e-09 -135.14569561267984 216.19698383910858
-9.166341092751038e-09 -135.26028734332078 215.9020424033329
-9.158568824774424e-09 -135.37507374935643 215.9272924121906
-9.150796544425404e-09 -135.49005532722686 212.64041499846468
-9.143024251708765e-09 -135.60523257506148 213.37873739990792
-9.135251946629289e-09 -135.7206059926863 214.04652382871555
-9.127479629191762e-09 -135.83617608163124 213.4153741791856
-9.119707299400967e-09 -135.9519433451372 211.42718833410103
-9.111934957261684e-09 -136.06790828816358 214.0778330646495
-9.104162602778697e-09 -136.1840714173954 217.21059186478413
-9.096390235956781e-09 -136.30043324125097 216.99660989612863
-9.088617856800718e-09 -136.41699426988902 217.383128978588
-9.080845465315284e-09 -136.53375501521626 215.35360530931126
-9.073073061505259e-09 -136.6507159908949 210.7651354270007
-9.065300645375411e-09 -136.7678777123503 206.79533412757468
-9.057528216930522e-09 -136.88524069677817 208.96499414653016
-9.049755776175359e-09 -137.0028054631526 216.32620213884167
-9.041983323114699e-09 -137.12057253223347 213.52677833286094
-9.03421085775331e-09 -137.23854242657416 210.83707387034679
-9.026438380095963e-09 -137.3567156705293 211.0289890695862
-9.018665890147429e-09 -137.47509279026264 214.0844154502079
-9.010893387912474e-09 -137.59367431375466 218.41568788973925
-9.003120873395865e-09 -137.71246077081062 219.08906021175835
-8.995348346602367e-09 -137.83145269306831 221.60590185509972
-8.987575807536747e-09 -137.95065061400598 226.83885500814912
-8.979803256203766e-09 -138.07005506895044 222.6053929058603
-8.97203069260819e-09 -138.18966659508487 222.44914751925077
-8.964258116754778e-09 -138.30948573145722 227.67357328130907
-8.956485528648292e-09 -138.42951301898776 227.40647919323982
-8.94871292829349e-09 -138.54974900047787 229.88318341659584
-8.940940315695133e-09 -138.67019422061762 221.30998976196383
-8.933167690857977e-09 -138.79084922599444 222.95654758214053
