string
20201020_m3.5_degreeper_secondprocessedoffset angle -0.08526168234596757 in rad by: offset_angle in degree:_-3.1offset 0th. order in px_-147
nm eV  counts
-8.515841748016495e-09 -145.5924108008674 4766.185240299824
-8.50806445079301e-09 -145.72549811571216 7352.268380731923
-8.500287145700474e-09 -145.85882910079317 9464.161844135802
-8.492509832743607e-09 -145.9924044258479 9532.798859126984
-8.484732511927134e-09 -146.1262247630703 9527.25570436508
-8.476955183255776e-09 -146.26029078712241 9609.722222222223
-8.46917784673426e-09 -146.3946031751454 9707.032076719577
-8.461400502367299e-09 -146.5291626067713 9810.685626102293
-8.453623150159618e-09 -146.6639697641341 9920.679976851852
-8.445845790115933e-09 -146.79902533188158 9992.858382936509
-8.438068422240962e-09 -146.93432999718675 10043.893435846561
-8.430291046539423e-09 -147.06988444975943 10133.110945767197
-8.42251366301603e-09 -147.2056893818582 10223.101576278661
-8.414736271675498e-09 -147.341745488302 10330.121389991182
-8.40695887252254e-09 -147.478053466482 10434.585813492064
-8.399181465561868e-09 -147.6146140163736 10562.301311728395
-8.391404050798197e-09 -147.75142784054827 10652.302551807761
-8.383626628236231e-09 -147.88849564418584 10753.985339506173
-8.375849197880689e-09 -148.02581813508618 10846.06963734568
-8.368071759736271e-09 -148.16339602368197 10941.284171075838
-8.36029431380769e-09 -148.30123002305038 10983.554480820107
-8.35251686009965e-09 -148.43932084892583 11031.430776014111
-8.344739398616859e-09 -148.57766921971202 11124.594356261025
-8.336961929364018e-09 -148.7162758564948 11219.0625
-8.329184452345834e-09 -148.85514148305418 11328.796020723104
-8.32140696756701e-09 -148.9942668258774 11437.813188932982
-8.313629475032245e-09 -149.13365261417133 11610.475501543211
-8.305851974746241e-09 -149.27329957987527 11744.928075396827
-8.298074466713701e-09 -149.4132084576738 11790.822172619048
-8.290296950939318e-09 -149.5533799850096 11801.396604938273
-8.282519427427793e-09 -149.6938149020965 11879.192294973545
-8.274741896183826e-09 -149.83451395193234 11925.537643298061
-8.266964357212105e-09 -149.97547788031233 11864.100391313934
-8.25918681051733e-09 -150.11670743584193 11827.561039462082
-8.251409256104195e-09 -150.25820336995028 11902.833443562611
-8.243631693977393e-09 -150.39996643690355 11922.162009479718
-8.235854124141614e-09 -150.5419973938183 11933.001129850089
-8.228076546601551e-09 -150.68429700067475 11945.090250220459
-8.22029896136189e-09 -150.8268660203308 11957.967509920636
-8.212521368427327e-09 -150.96970521853515 12083.705770502647
-8.204743767802543e-09 -151.11281536394137 12237.6456404321
-8.196966159492229e-09 -151.25619722812152 12301.393573633159
-8.18918854350107e-09 -151.39985158558005 12532.046268738977
-8.18141091983375e-09 -151.54377921376775 12805.709325396827
-8.173633288494956e-09 -151.68798089309576 13004.818672839507
-8.165855649489368e-09 -151.83245740694974 13224.509341931218
-8.158078002821671e-09 -151.9772095417039 13331.29340277778
-8.150300348496544e-09 -152.12223808673548 13286.140597442682
-8.142522686518666e-09 -152.26754383443892 13247.763447971782
-8.134745016892718e-09 -152.41312758024037 13188.265955687832
-8.12696733962338e-09 -152.5589901226121 13097.242063492064
-8.119189654715328e-09 -152.7051322630873 13090.832506613757
-8.111411962173235e-09 -152.8515548062747 13174.986221340389
-8.103634262001781e-09 -152.99825855987302 13269.595871913582
-8.095856554205636e-09 -153.1452443346864 13428.347938712523
-8.08807883878948e-09 -153.29251294463867 13528.899774029984
-8.080301115757978e-09 -153.44006520678903 13693.776041666668
-8.072523385115802e-09 -153.58790194134676 13961.343005952382
-8.064745646867626e-09 -153.73602397168634 14259.739169973545
-8.05696790101812e-09 -153.884432124363 14513.524994488538
-8.04919014757195e-09 -154.03312722912807 14679.221230158731
-8.041412386533784e-09 -154.18211011894428 15040.196208112877
-8.033634617908289e-09 -154.33138163000137 15468.09413580247
-8.02585684170013e-09 -154.48094260173184 15867.897376543211
-8.01807905791397e-09 -154.63079387682652 15803.960813492065
-8.010301266554474e-09 -154.7809363012505 15797.069554673722
-8.002523467626307e-09 -154.93137072425904 15715.281360229277
-7.994745661134125e-09 -155.08209799841362 15529.648368606702
-7.986967847082596e-09 -155.23311897959775 15292.444609788361
-7.979190025476373e-09 -155.38443452703376 15096.61789021164
-7.971412196320118e-09 -155.53604550329848 14837.654320987656
-7.963634359618489e-09 -155.68795277433998 14693.768601190477
-7.955856515376142e-09 -155.84015720949392 14556.037533068784
-7.948078663597731e-09 -155.99265968150027 14434.422811948854
-7.940300804287916e-09 -156.14546106651977 14354.137042548502
-7.932522937451344e-09 -156.298562244151 14189.956872795416
-7.924745063092671e-09 -156.45196409744693 14038.023175705468
-7.916967181216552e-09 -156.6056675129321 13786.067294973545
-7.909189291827633e-09 -156.75967338061966 13549.359430114639
